NUMERO,PERGUNTA,RESP1,RESP2,RESP3,RESP4,CERTA,TIPO,FLAG,JA_FOI,MATERIA
1291,"UM ""ANALGÉSICO"" É UM AGENTE PARA:","TRATAMENTO DO INTESTINO","ALÍVIO DE STRESS","ALÍVIO DA DOR","TRATAMENTO DA CASPA","3","A",,"N","C"
1290,"QUILOGRAMA É UNIDADE DE MEDIDA DE:","AR","ÁGUA","SUPERFÍCIE","MASSA","4","A",,"N","C"
1289,"QUE NOME SE DÁ À UMIDADE DO AR NOTURNO?","RELEVO","RELHO","RELENTO","RELAXO","3","A",,"N","C"
1288,"QUE NOME SE DÁ A PLANTAÇÃO DE CANA-DE-AÇÚCAR?","CANAVIAL","CANAVEIRAL","CANEIRO","CANEZAL","1","A",,"N","C"
1287,"A AUSÊNCIA DE PIGMENTAÇÃO NA PELE CARACTERIZA O QUÊ?","BRONZEADO","ALBINISMO","ANGIOMA","QUEIMADURA","2","A",,"N","C"
1286,"QUANTOS SÃO OS SENTIDOS HUMANOS?","4","7","5","6","3","A",,"N","C"
1285,"NO CORPO HUMANO, ONDE ESTÃO LOCALIZADAS AS PÁLPEBRAS?","BOCA","OLHOS","NARIZ","OUVIDO","2","A",,"N","C"
1284,"EM GERAL, ACIMA DE QUANTOS GRAUS SE CONSIDERA QUE UMA PESSOA ESTÁ COM FEBRE?","34º","35º","36º","37º","4","A",,"N","C"
1318,"O QUE É UM ANIMAL INVERTEBRADO?","ANIMAL SEM PÊLOS","ANIMAL SEM COLUNA VERTEBRAL","ANIMAL SEM CABEÇA","ANIMAL SEM ASAS","2","A",,"N","C"
1293,"O QUE COBRE QUASE 75% DO PLANETA TERRA ?","ÁGUA","GELO","AR","MATA","1","A",,"N","C"
1295,"O QUE AS GLÂNDULAS SALIVARES PRODUZEM?","ENERGIA","SONS","SALIVA","LÁGRIMAS","3","A",,"N","C"
1330,"O FLUOR É USADO EM QUE PRODUTO DE HIGIENE?","SABONETE","CREME DENTAL","XAMPU","POMADA","2","A",,"N","C"
1329,"O EXCESSO DE EXPOSIÇÃO AO SOL CAUSA:","GASTRITE","INSOLAÇÃO","CATAPORA","MALÁRIA","2","A",,"N","C"
1328,"O DESMORONAMENTO DE NEVE DA ENCOSTA DE MONTANHAS CHAMA-SE:","AVALANCHA","ICEBERG","ERUPÇÃO","CORREDEIRA","1","A",,"N","C"
1327,"O DENTE DO SISO É TAMBÉM CHAMADO DE:","DENTE DO JUÍZO","DENTE DA ALEGRIA","DENTE DA ESPERANÇA","DENTE DA TRAIÇÃO","1","A",,"N","C"
1326,"O CONJUNTO DE EXAMES CLÍNICOS QUE UM PACIENTE FAZ PARA UMA ANÁLISE COMPLETA CHAMA-SE:","CHECK-UP","CHEQUE ESPECIAL","CHECK-IN","XEQUE-MATE","1","A",,"N","C"
1325,"O QUE É XILOCAÍNA?","CIDADE","ANESTÉSICO","FERRAMENTA","ADOÇANTE","2","A",,"N","C"
1324,"O AÇÚCAR PODE SER OBTIDO SOBRETUDO DE QUAL PLANTA?","LARANJA","ERVA-DOCE","ACEROLA","BETERRABA","4","A",,"N","C"
1323,"O QUE NÃO FAZ PARTE DE UMA PLANTA?","CAULE","FOLHA","BATERIA","RAIZ","3","A",,"N","C"
1322,"NA ODONTOLOGIA, O TRATAMENTO COM FLÚOR VISA A PREVENÇÃO CONTRA:","ÁCAROS","TREMEDEIRAS","TENDINITES","CÁRIES","4","A",,"N","C"
1321,"NA AVICULTURA SE CRIA:","BOVINOS","CAPRINOS","AVES","SUÍNOS","3","A",,"N","C"
1307,"MOCOTÓ FICA EM QUE PARTE DO BOI:","PATAS","CUPIM","DORSO","CABEÇA","1","A",,"N","C"
1319,"LATICÍNIOS SÃO ALIMENTOS OBTIDOS A PARTIR DE QUÊ?","OVO","LEITE","FARINHA","BANHA","2","A",,"N","C"
1331,"LAMBARI É UMA ESPÉCIE DE QUÊ?","ESQUILO","PEIXE","LAGARTO","TAMANDUÁ","2","A",,"N","C"
1317,"JIBÓIA E CORAL SÃO ESPÉCIES DE QUÊ?","ESCORPIÃO","COBRA","TATURANA","ARANHA","2","A",,"N","C"
1316,"JARARACA E CASCAVEL SÃO ESPÉCIES DE QUE ANIMAL?","JACARÉ","TAMANDUÁ","TARTARUGA","COBRA","4","A",,"N","C"
1315,"FORMICIDA É UM COMPOSTO QUÍMICO PARA MATAR O QUÊ?","PÁSSAROS","FORMIGAS","FIGUEIRAS","COBRAS","2","A",,"N","C"
1314,"QUAL DAS CARACTERÍSTICAS ABAIXO NÃO PERTENCE À ÁGUA?","COLORIDA","LÍQUIDA","INODORA","INSÍPIDA","1","A",,"N","C"
1313,"O ATO DE INTRODUZIR O AR NOS PULMÕES É CHAMADO:","INSPIRAÇÃO","CONDUÇÃO","EXPIRAÇÃO","ABSORVIÇÃO","1","A",,"N","C"
1312,"QUAL É O AGENTE CAUSADOR DA VERMINOSE?","ÁCAROS","VERMES","BACTÉRIAS","FUNGOS","2","A",,"N","C"
1311,"QUE NOME SE DA À EXPLORAÇÃO DOS RECURSOS MINERAIS?","AMAMENTAÇÃO","PASTEURIZAÇÃO","MINERAÇÃO","ESTADUALIZAÇÃO","3","A",,"N","C"
1310,"QUAL BALEIA É CHAMADA DE BALEIA-ASSASSINA?","CACHALOTE","ORCA","BELUGA","NARVAL","2","A",,"N","C"
1309,"QUAL ÁREA DA MEDICINA QUE TRATA  AS CRIANÇAS?","GERIATRIA","PEDIATRIA","INFANTOLOGIA","BIOLOGIA","2","A",,"N","C"
1280,"QUAL ANIMAL TAMBÉM É CONHECIDO COMO PAPA-FORMIGAS?","TATU","TAMANDUÁ","GAMBÁ","PREGUIÇA","2","A",,"N","C"
1320,"QUAL ANIMAL POSSUI O CORPO COBERTO POR LÃ?","CABRITO","CARNEIRO","PACA","ESQUILO","2","A",,"N","C"
1283,"QUAL ANIMAL NÃO VIVE NO MAR?","CARANGUEJO","CAMARÃO","PACU","TUBARÃO","3","A",,"N","C"
1255,"QUAL ANIMAL NÃO É UMA AVE?","ANU","GRALHA","CUCO","JOANINHA","4","A",,"N","C"
1254,"QUAL ANIMAL LIBERA UM FERRÃO NO MOMENTO DA PICADA?","VESPA","BORBOLETA","PULGA","JOANINHA","1","A",,"N","C"
1253,"QUAL ANIMAL DE ÁGUA DOCE GRUDA NOS ANIMAIS PARA SUGAR SEU SANGUE?","ENGUIA","PULGA","SANGUESSUGA","LÊNDEA","3","A",,"N","C"
1252,"O QUE É VIA LÁCTEA?","MARCA DE LEITE","CIVILIZAÇÃO ANTIGA","MARCA DE CARRO","GALÁXIA","4","A",,"N","C"
1251,"POR QUAL DESSAS MANEIRAS O VÍRUS HIV NÃO É TRANSMITIDO?","APERTO DE MÃO","COMPARTILHAR AGULHAS","RELAÇÃO SEXUAL","TRANSFUSÃO DE SANGUE","1","A",,"N","C"
1250,"DERMATITE É UM PROBLEMA QUE AFETA QUAL PARTE DO CORPO?","FÍGADO","DENTES","PELE","LÍNGUA","3","A",,"N","C"
1249,"OS CRISTAIS DE NEVE ENCONTRAM-SE EM QUE ESTADO FÍSICO?","LÍQUIDO","VAPOR","SÓLIDO","GASOSO","3","A",,"N","C"
1248,"ONDE É O ABRIGO NATURAL DO MORCEGO?","CAVERNAS","MARES","OCEANOS","PRAIAS","1","A",,"N","C"
1247,"ONDE É FACILMENTE ENCONTRADA A ÁGUA-VIVA?","ROCHAS","MONTANHAS","MARES","GRAMADOS","3","A",,"N","C"
1246,"O VAPOR D'ÁGUA PERTENCE A QUAL ESTADO DA MATÉRIA?","SÓLIDO","LÍQUIDO","GASOSO","NENHUM","3","A",,"N","C"
1233,"O VAGA-LUME TAMBÉM É CHAMADO:","PIRILAMPO","TICO-TICO","BEIJA-FLOR","BORBOLETA","1","A",,"N","C"
1244,"O URSO-POLAR TAMBÉM PODE SER CHAMADO DE URSO:","URSO-PRETO","URSO-PARDO","URSO-MARROM","URSO-BRANCO","4","A",,"N","C"
1256,"O UIVO É UM SOM PRODUZIDO POR QUAL DESSES ANIMAIS?","LOBO","CAVALO","GATO","BOI","1","A",,"N","C"
1242,"O TAMANDUÁ SE ALIMENTA DE QUAL DESSES ANIMAIS?","FORMIGA","GALINHA","MORCEGO","PORCO","1","A",,"N","C"
1241,"O TABACO, QUE É UMA SUBSTÂNCIA NOCIVA À SAÚDE, É ENCONTRADO NO...","CAFÉ","CHIMARRÃO","FUMO","CHÁ","3","A",,"N","C"
1240,"QUAIS SÃO OS PRINCIPAIS COMPONENTES DA AGUARDENTE?","ÁLCOOL E MEL","ÁLCOOL E VINHO","ÁLCOOL E CANELA","ÁLCOOL E ÁGUA","4","A",,"N","C"
1239,"A INFLAMAÇÃO DE LABIRINTO É:","LABAREDA","LABORAÇÃO","LABREADO","LABIRINTITE","4","A",,"N","C"
1238,"EM QUE ÓRGÃO FICA O GLOBO OCULAR?","BOCA","OLHOS","CORAÇÃO","FÍGADO","2","A",,"N","C"
1237,"A JOANINHA PODE SER CLASSIFICADA COMO:","INSETO","RÉPTIL","ANFÍBIO","AVE","1","A",,"N","C"
1236,"AS GLÂNDULAS SALIVARES SÃO ENCONTRADAS:","NA BOCA","NA PERNA","NOS OLHOS","NO ESTÔMAGO","1","A",,"N","C"
1235,"ÁGUA POTÁVEL É AQUELA QUE:","SE PODE BEBER","NÃO SE PODE BEBER","ESTÁ SUJA","ESTÁ CONTAMINADA","1","A",,"N","C"
1234,"A VACINA ANTIVARIÓLICA PROTEGE CONTRA O QUÊ?","RUBÉOLA","VARÍOLA","SARAMPO","CATAPORA","2","A",,"N","C"
1268,"A SEDA É PRODUZIDA POR:","UM RÉPTIL","UMA AVE","UM INSETO","UM MAMÍFERO","3","A",,"N","C"
1270,"A PLANTA QUE MAIS PRODUZ IRRITAÇÃO NA PELE É A...","SAMAMBAIA","URTIGA","ARRUDA","CIDREIRA","2","A",,"N","C"
1245,"A ORELHA TEM QUE TIPO DE FORMAÇÃO?","ÓSSEA","MUSCULAR","NERVOSA","CARTILAGINOSA","4","A",,"N","C"
1279,"A MIOPIA É UMA DEFICIÊNCIA DE QUAL SENTIDO?","TATO","OLFATO","VISÃO","PALADAR","3","A",,"N","C"
1278,"AS SUBSTÂNCIAS QUE CONSTITUEM O SORO CASEIRO SÃO?","ÁGUA,SAL E AÇÚCAR","ÁGUA, MEL E VINAGRE","ÁGUA, SAL E MEL","ÁGUA, AÇÚCAR E LIMÃO","1","A",,"N","C"
1277,"A LARANJA É RICA EM QUAL TIPO DE VITAMINA?","VITAMINA C","VITAMINA A","VITAMINA E","VITAMINA B","1","A",,"N","C"
1276,"AS VARIAÇÕES DA LUZ REFLETIDA PELA LUA SÃO CHAMADAS DE:","FORMAS","CORES","MARÉS","FASES","4","A",,"N","C"
1275,"A FRUTA-DO-CONDE TAMBÉM É CONHECIDA COMO...","JACA","COCO","PINHA","FRUTA-PÃO","3","A",,"N","C"
1274,"A FRAGRÂNCIA É ALGO PERCEBIDO POR QUAL DOS NOSSOS SENTIDOS?","VISÃO","OLFATO","AUDIÇÃO","PALADAR","2","A",,"N","C"
1273,"A ESPÉCIE HUMANA PERTENCE AO REINO...","VEGETAL","MINERAL","ARTIFICIAL","ANIMAL","4","A",,"N","C"
1272,"A CUTIA É UM:","ROEDOR","PEIXE","MOLUSCO","INSETO","1","A",,"N","C"
1271,"A CHUVA DE PEDRAS DE GELO, É CHAMADA:","GRANIZO","GRANITO","GRANIZIO","PEDREJADA","1","A",,"N","C"
1257,"A CASTANHA-DO-PARÁ É PROVENIENTE DE QUAL PAÍS?","CANADÁ","AUSTRÁLIA","BRASIL","ÍNDIA","3","A",,"N","C"
1269,"A BRONQUITE É UMA DOENÇA QUE ATINGE QUAL SISTEMA?","DIGESTIVO","CIRCULATÓRIO","SANGUÍNEO","RESPITATÓRIO","4","A",,"N","C"
1281,"A BATATA É...","TUBÉRCULO","HORTALIÇA","LEGUME","FRUTA","1","A",,"N","C"
1267,"A ATMOSFERA É UMA CAMADA :","OLEOSA","GASOSA","LÍQUIDA","SÓLIDA","2","A",,"N","C"
1266,"A LUNETA E O MICROSCÓPIO ESTÃO RELACIONADOS COM QUAL ÓRGÃO DO SENTIDO?","VISÃO","PALADAR","OLFATO","AUDIÇÃO","1","A",,"N","C"
1265,"COMO É CHAMADA A PERTURBAÇÃO DA FALA CARACTERIZADO PELA REPETIÇÃO DE SÍLABAS?","ROUQUIDÃO","MUTISMO","GAGUEIRA","RINITE","3","A",,"N","C"
1264,"DE QUAL PLANTA É EXTRAÍDA A TAPIOCA?","MANDIOCA","ALFACE","BATATA","CHICÓRIA","1","A",,"N","C"
1263,"COMO SE CHAMAM OS ANIMAIS QUE VIVEM NA ÁGUA?","AQUÁTICOS","TERRESTRES","AÉREOS","CAMPESTRES","1","A",,"N","C"
1262,"COMO SE CHAMA O TUBO DE PLÁSTICO QUE SERVE PARA SUGAR BEBIDAS?","CAULE","SERINGA","COLCHETE","CANUDO","4","A",,"N","C"
1261,"COMO SE CHAMA A REAÇÃO HIPERSENSÍVEL A CERTAS SUBSTÂNCIAS?","GRIPE","DOR DE CABEÇA","ALERGIA","FEBRE","3","A",,"N","C"
1260,"COMO SE CHAMA A AGITAÇÃO DE UM LÍQUIDO NA BOCA?","GRAVETO","GARRANCHO","BOCEJO","GARGAREJO","4","A",,"N","C"
1259,"COMO SÃO CHAMADOS OS CLARÕES DE DESCARGAS ELÉTRICAS OBSERVADOS EM DIA DE TEMPORAL?","TROVOADA","RELÂMPAGO","TROVÃO","ESTRONDO","2","A",,"N","C"
1258,"COMO SÃO CHAMADAS AS PEQUENAS LÂMINAS QUE COBREM O CORPO DE ALGUNS PEIXES?","PELES","COURO","PÊLOS","ESCAMAS","4","A",,"N","C"
1355,"COMO É CONHECIDO O PLANETA TERRA?","PLANETA AMARELO","PLANETA ROXO","PLANETA AZUL","PLANETA VERMELHO","3","A",,"N","C"
1420,"COMO É CHAMADO O SOM EMITIDO POR UMA VOZ AGUDA E MUITO ELEVADA?","SUSSURRO","MÍMICA","GRITO","MURMÚRIO","3","A",,"N","C"
1308,"AS PLANTAS QUE HABITAM AS ZONAS DAS NEVES NAS MONTANHAS SÃO CHAMADAS DE:","TÓRRIDAS","EQUATORIAS","GLACIAS","TROPICAIS","3","A",,"N","C"
1404,"COMO É CHAMADO O INCHAÇO NA CABEÇA RESULTANTE DE UMA BATIDA?","TORCICOLO","CÂIMBRA","NEVRALGIA","GALO","4","A",,"N","C"
1403,"QUAL DESSAS FONTES DE ENERGIA NÃO É POLUENTE?","PETRÓLEO","SOL","GÁS","CARVÃO","2","A",,"N","C"
1402,"COMO É CHAMADA A PERDA TOTAL OU PARCIAL DA MEMÓRIA?","ASTIGMATISMO","CEFALÉIA","MAGNÉSIA","AMNÉSIA","4","A",,"N","C"
1401,"COMO É CHAMADA A ONDULAÇÃO NA SUPERFÍCIE DO MAR?","TERREMOTO","MAROLA","MAREMOÇO","MAROLO","2","A",,"N","C"
1400,"COMO É CHAMADA A NECESSIDADE DE INGERIR LÍQUIDO?","PREGUIÇA","COCEIRA","SEDE","CEGUEIRA","3","A",,"N","C"
1399,"COMO É CHAMADA A CRIAÇÃO DE PORCOS?","RANICULTURA","SUINOCULTURA","AGRICULTURA","APILCULTURA","2","A",,"N","C"
1398,"COMO CHAMAMOS O BEBÊ QUE NASCE ANTES DO TEMPO?","RECÉM-NASCIDO","PREMATURO","DE PROVETA","PÓSMATURO","2","A",,"N","C"
1397,"COMO CHAMAMOS A MEDIDA DE UMA PESSOA DA CABEÇA AOS PÉS?","ESTATURA","GRAUS","QUILÔMETRO","LITROS","1","A",,"N","C"
1396,"COM QUAL DESSES FENÔMENOS É POSSÍVEL CONSTRUIR BONECOS?","VENTO","NEVE","CHUVA","TROVÃO","2","A",,"N","C"
1382,"CEDRO É UMA ESPÉCIE DE:","MADEIRA","COMIDA","ROEDOR","AVE","1","A",,"N","C"
1394,"CARANGUEJEIRA CORRESPONDE A QUE ESPÉCIE DE ANIMAL?","ARANHA","FORMIGA","COBRA","PEIXE","1","A",,"N","C"
1406,"COMO É CHAMADO O ÓRGÃO DO OLFATO DO ELEFANTE?","BOCARRA","BOCA","BICO","TROMBA","4","A",,"N","C"
1392,"QUAL É O FRUTO DO CAJUEIRO?","JAMBO","CAJU","AMEIXA","MANGA","2","A",,"N","C"
1391,"QUAL É A MATÉRIA-PRIMA DO PAPEL?","LATÉX","FÓSFORO","CELULOSE","NITROGÊNIO","3","A",,"N","C"
1390,"QUAL É O NOME DO MACHO DA ABELHA ?","ZANGÃO","GARANHÃO","FERRÃO","RUFIÃO","1","A",,"N","C"
1389,"QUAL É O NOME DO FILAMENTO QUE CONSTITUI O CASULO DO BICHO-DA-SEDA?","LINHO","SEDA","LÃ","ALGODÃO","2","A",,"N","C"
1388,"QUAL É O NOME DO FENÔMENO DE CONGELAMENTO DO ORVALHO?","GEADA","CHUVA DE GELO","GRANIZO","NEVE","1","A",,"N","C"
1387,"QUAL É O NOME DADO A DESINTEGRAÇÃO DOS DENTES PELA AÇÃO DE BACTÉRIAS?","FLÚOR","CANAL","CÁRIE","OBTURAÇÃO","3","A",,"N","C"
1386,"QUAL É O NOME DA PLANTA QUE ESTÁ RELACIONADA COM O SANTO QUE DESAFIOU UM DRAGÃO?","ESPADA-DE- SÃO-PAULO","CAJADO-DE-SÃO-JOÃO","ESPADA-DE-SÃO-JORGE","CAJADO-DE-SÃO-JUDAS","3","A",,"N","C"
1385,"QUAL É O MÉDICO ESPECIALÍSTA EM PROBLEMAS VISUAIS?","OFTALMOLOGISTA","UROLOGISTA","GINECOLOGISTA","CARDIOLOGISTA","1","A",,"N","C"
1384,"QUAL É O INSETO QUE EMITE FOSFORESCÊNCIA?","BESOURO","PERNILONGO","VAGA-LUME","ZANGÃO","3","A",,"N","C"
1418,"QUAL É O HABITAT DAS LAGOSTAS?","MARES","RIOS","PÂNTANOS","IGARAPÉS","1","A",,"N","C"
1393,"QUAL É O PROFISSIONAL ESPECIALIZADO PARA FAZER AVALIAÇÕES NUTRICIONAIS?","COZINHEIRO","NUTRICIONISTA","FARMACÊUTICO","ENFERMEIRO","2","A",,"N","C"
1395,"QUAL É O FRUTO DO DENDEZEIRO?","DENDRIA","DENDÊ","PEQUI","AZEITONA","2","A",,"N","C"
1430,"QUAL É O PROFISSIONAL QUE UTILIZA O BISTURI?","AGRICULTOR","POLICIAL","MÉDICO","ESCULTOR","3","A",,"N","C"
1429,"QUAL É O FRUTO DA PITOMBEIRA?","FRUTA-PÃO","PÊSSEGO","PITOMBA","PISTACHE","3","A",,"N","C"
1428,"QUAL É O FRUTO DA OLIVEIRA?","MORANGO","AZEITONA","UVA","FRAMBOESA","2","A",,"N","C"
1427,"QUAL É O FRUTO DA PEREIRA?","PÊSSEGO","PINHA","MANGA","PÊRA","4","A",,"N","C"
1426,"QUAL É O FRUTO DA AMOREIRA?","ABACAXI","AMORA","ABACATE","AMEIXA","2","A",,"N","C"
1425,"QUAL É O ESTRONDO QUE SE ASSOCIA AO RELÂMPAGO?","TROVÃO","RAIO","CHOQUE","LUZ","1","A",,"N","C"
1424,"QUAL É O ELEMENTO QUE NÃO SE DISSOLVE EM  ÁGUA?","CHOCOLATE","LEITE","ÓLEO","AÇÚCAR","3","A",,"N","C"
1423,"QUAL É O APARELHO UTILIZADO PARA EMITIR E-MAILS?","FERRO DE PASSAR","COMPUTADOR","MÁQUINA DE ESCREVER","RÁDIO AM","2","A",,"N","C"
1422,"QUAL É O APARELHO ELÉTRICO QUE REPRODUZ SONS GRAVADOS EM DISCOS?","CORNETA","SANFONA","BANJO","VITROLA","4","A",,"N","C"
1421,"QUAL BICHO TRANSMITE A DOENÇA DE CHAGAS ?","ABELHA","BARATA","BARBEIRO","PULGA","3","A",,"N","C"
1407,"QUAL É O FRUTO DO QUIABEIRO?","BATATA","BETERRABA","JILÓ","QUIABO","4","A",,"N","C"
1419,"QUAL O ESTADO DA ÁGUA QUANDO ESTÁ EM FORMA DE GELO?","LÍQUIDO","SÓLIDO","GASOSO","VAPOR","2","A",,"N","C"
1431,"QUANTOS PULMÕES POSSUI UM SER HUMANO SAUDÁVEL?","TRÊS","QUATRO","DOIS","UM","3","A",,"N","C"
1417,"QUANDO O MÉDICO RECEITA UM REMÉDIO VIA ORAL, AS PESSOAS DEVEM TOMAR:","PELO OUVIDO","PELO NARIZ","PELA BOCA","PELOS OLHOS","3","A",,"N","C"
1416,"QUANDO É VERÃO NO BRASIL, NOS ESTADOS UNIDOS É:","PRIMAVERA","INVERNO","OUTONO","VERÃO","2","A",,"N","C"
1415,"QUANDO DIZEMOS QUE ESTAMOS COM CEFALÉIA, NÓS ESTAMOS COM:","DOR DE OUVIDO","DOR DE GARGANTA","DOR DE CABEÇA","DOR DE COTOVELO","3","A",,"N","C"
1414,"QUAL SUBSTÂNCIA TEM A FUNÇÃO DE ALIVIAR A DOR?","ANALGÉSICO","ANTITÉRMICO","CARDIOTÔNICO","ANTIOFÍDICO","1","A",,"N","C"
1413,"QUAL SUBSTÂNCIA NÃO É USADA COMO DESINFETANTE?","FORMOL","ÁGUA SANITÁRIA","ÁLCOOL","LODO","4","A",,"N","C"
1412,"QUAL PRODUTO ABAIXO NÃO É DERIVADO DO LEITE?","GARAPA","MANTEIGA","QUEIJO","RICOTA","1","A",,"N","C"
1411,"QUAL PARTE DO CORPO AS COBRAS UTILIZAM PARA INJETAR SEU VENENO EM SUAS PRESAS?","DENTES","GUISO","COSTELAS","RABO","1","A",,"N","C"
1410,"QUAL PALAVRA ABAIXO NÃO É UM ÓRGÃO DE PLANTA?","FLOR","FRUTOS","PELANCA","FOLHAS","3","A",,"N","C"
1409,"QUAL É O NOME DO SINAL GRÁFICO EM FORMA DE ESTRELA?","ASTERISMO","ARTERÍSTICO","ASTERISCO","ASTERÍSTICO","3","A",,"N","C"
1408,"QUAL O RECIPIENTE UTILIZADO PARA CONSERVAR QUENTE OS LÍQUIDOS?","JARRA","BACIA","GARRAFA TÉRMICA","TAÇA","3","A",,"N","C"
1370,"QUAL É A MAIOR EXTENSÃO DE ÁGUA SALGADA?","BAÍA","OCEANO","GOLFO","ENSEADA","2","A",,"N","C"
1333,"QUAL INSTRUMENTO USAMOS PARA DIGITAR CARACTERES NUM COMPUTADOR?","MOUSE","MONITOR","TECLADO","LÁPIS","3","A",,"N","C"
1383,"QUAL INSTRUMENTO É USADO PARA OBSERVAR E ESTUDAR AS CÉLULAS?","COLPOSCÓPIO","MICROSCÓPIO","TELESCÓPIO","ESTETOSCÓPIO","2","A",,"N","C"
1354,"QUAL INSETO TAMBÉM RECEBE O NOME DE PIRILAMPO?","GAFANHOTO","LOUVA-A-DEUS","CUPIM","VAGA-LUME","4","A",,"N","C"
1353,"QUAL INSETO PICADOR É CONHECIDO POR SEUS PULOS?","BARATA","BESOURO","MOSQUITO","PULGA","4","A",,"N","C"
1352,"QUAL FASE DA LUA É ASSOCIADA AO LOBISOMEM?","NOVA","QUARTO CRESCENTE","MINGUANTE","CHEIA","4","A",,"N","C"
1351,"QUAL ESTAÇÃO É CONHECIDA COMO A QUE CAEM AS FOLHAS DAS ÁRVORES?","VERÃO","OUTONO","INVERNO","PRIMAVERA","2","A",,"N","C"
1350,"QUAL ESTAÇÃO DO ANO ANTECEDE O OUTONO?","VERÃO","INVERNO","PRIMAVERA","TROPICAL","1","A",,"N","C"
3008,"O QUE É BATATEIRA?","PÉ DE BATATA","UMA MENTIRA","UMA BATATA GRANDE","UMA SALADA","1","B",,"N","V"
1542,"QUAL É O NÚMERO DE CORDAS DE UM BERIMBAU?","DUAS","SEIS","UMA","CINCO","3","A",,"N","V"
40,"QUAL É O NOME DO GRUPO MUSICAL FORMADO PELAS FILHAS DA BABY DO BRASIL?","SNZ","FIVE","AS MENINAS","KLB","1","A",,"N","V"
784,"GENITOR É O:","PAI","IRMÃO","TIO","PADRINHO","1","A",,"N","V"
842,"FARDA É O MESMO QUE:","FACA","UNIFORME","PÁSSARO","FENDA","2","A",,"N","V"
970,"O QUE OS PINTORES UTILIZAM PARA ESPALHAR A TINTA?","PINÇA","PINCEL","BATUTA","BAQUETA","2","A",,"N","V"
2868,"QUE NOME SE DÁ AO DESENHO SATÍRICO DE PESSOAS OU FATOS?","FIGURINHA","TATUAGEM","CARICATURA","GIBI","3","B",,"N","V"
2924,"O ANIMAL QUE DEVERIA TER CHIFRES E NÃO TEM, É CHAMADO DE:","MOCAR","MOCHETA","MOCHO","MOCEDO","3","B",,"N","V"
1349,"QUAL É O TIPO DE PRODUTO CULTIVADO NA VINICULTURA?","BANANA","UVA","MAÇÃ","UMBU","2","A",,"N","C"
1348,"QUAL É O RAMO DA GASTRONOMIA?","GASTOS","FINANÇAS","LEIS","CULINÁRIA","4","A",,"N","C"
1347,"QUAL O RÉPTIL QUE MUDA DE COR CONFORME O AMBIENTE E O MEIO ONDE VIVE?","SAPO","CAMALEÃO","LAGARTO","JACARÉ","2","A",,"N","C"
